order_id,expected_category
ORD10275,progressed_status_should_create_new_scd2_version
ORD10141,progressed_status_should_create_new_scd2_version
ORD10177,progressed_status_should_create_new_scd2_version
ORD10060,progressed_status_should_create_new_scd2_version
ORD10061,progressed_status_should_create_new_scd2_version
ORD10090,progressed_status_should_create_new_scd2_version
ORD10001,progressed_status_should_create_new_scd2_version
ORD10088,progressed_status_should_create_new_scd2_version
ORD10180,progressed_status_should_create_new_scd2_version
ORD10051,progressed_status_should_create_new_scd2_version
ORD10147,progressed_status_should_create_new_scd2_version
ORD10003,progressed_status_should_create_new_scd2_version
ORD10231,progressed_status_should_create_new_scd2_version
ORD10096,progressed_status_should_create_new_scd2_version
ORD10260,progressed_status_should_create_new_scd2_version
ORD10283,progressed_status_should_create_new_scd2_version
ORD10200,progressed_status_should_create_new_scd2_version
ORD10026,progressed_status_should_create_new_scd2_version
ORD10296,progressed_status_should_create_new_scd2_version
ORD10037,progressed_status_should_create_new_scd2_version
ORD10120,unchanged_status_should_NOT_create_new_version
ORD10116,unchanged_status_should_NOT_create_new_version
ORD10294,unchanged_status_should_NOT_create_new_version
ORD10095,unchanged_status_should_NOT_create_new_version
ORD10238,unchanged_status_should_NOT_create_new_version
ORD10002,unchanged_status_should_NOT_create_new_version
ORD10249,unchanged_status_should_NOT_create_new_version
ORD10130,unchanged_status_should_NOT_create_new_version
ORD10208,unchanged_status_should_NOT_create_new_version
ORD10033,unchanged_status_should_NOT_create_new_version
ORD210004,new_order_should_be_fresh_insert
ORD210001,new_order_should_be_fresh_insert
ORD210008,new_order_should_be_fresh_insert
ORD210006,new_order_should_be_fresh_insert
ORD210007,new_order_should_be_fresh_insert
ORD210003,new_order_should_be_fresh_insert
ORD210005,new_order_should_be_fresh_insert
ORD210002,new_order_should_be_fresh_insert
